skus_mktplc,lojista_mktplc
11653744,31143
11653744,31185
11653744,31186
11653744,31189
11653744,31162
11653744,31157
11653744,31175
11653744,31149
11653744,31170
11653744,31168
11653744,31173
11653744,31181
11653744,31148
11653752,31162
11653752,31173
11653752,31149
11653752,31181
11653752,31157
11653752,31151
11653752,31143
11653752,31170
11653752,31159
11653752,31188
11653752,31148
11653752,31185
11653752,31172
11653752,31177
11653752,31175
11653752,31168
11653752,31189
11653752,31186
11653752,31160
11653756,31143
11653756,31148
11653756,31185
11653756,31173
11653756,31189
11653756,31160
11653756,31172
11653756,31159
11653756,31188
11653756,31181
11653756,31177
11653756,31170
11653756,31168
11653756,31175
11653756,31157
11653756,31186
11653756,31162
11653760,31157
11653760,31186
11653760,31151
11653760,31173
11653760,31175
11653760,31177
11653760,31189
11653760,31188
11653760,31148
11653760,31172
11653760,31143
11653760,31160
11653760,31162
11653760,31170
11653760,31185
11653760,31149
11653760,31159
11653760,31168
11653760,31181
11653904,31162
11653904,31181
11653904,31186
11653904,31175
11653904,31172
11653904,31170
11653904,31159
11653904,31168
11653904,31188
11653904,31189
11653904,31143
11653904,31160
11653904,31149
11653904,31157
11653904,31185
11653904,31148
11653904,31177
11653904,31173
11653935,31172
11653935,31149
11653935,31160
11653935,31173
11653935,31185
11653935,31170
11653935,31162
11653935,31168
11653935,31143
11653935,31189
11653935,31186
11653935,31159
11653935,31148
11653935,31151
11653935,31188
11653935,31177
11653935,31157
11653935,31181
11653935,31175
11653938,31175
11653938,31162
11653938,31185
11653938,31172
11653938,31159
11653938,31188
11653938,31186
11653938,31173
11653938,31170
11653938,31149
11653938,31177
11653938,31168
11653938,31157
11653938,31160
11653938,31189
11653938,31148
11653938,31181
11653939,31149
11653939,31170
11653939,31177
11653939,31181
11653939,31172
11653939,31157
11653939,31175
11653939,31185
11653939,31159
11653939,31160
11653939,31189
11653939,31188
11653939,31143
11653939,31162
11653939,31186
11653941,31177
11653941,31185
11653941,31172
11653941,31175
11653941,31151
11653941,31157
11653941,31149
11653941,31168
11653941,31189
11653941,31143
11653941,31162
11653941,31159
11653941,31186
11653941,31188
11653941,31181
11653941,31148
11653941,31170
11653941,31173
11653941,31160
11653942,31188
11653942,31168
11653942,31172
11653942,31173
11653942,31159
11653942,31148
11653942,31160
11653942,31181
11653942,31189
11653942,31185
11653942,31175
11653942,31177
11653942,31186
11653942,31162
11653942,31157
11681243,31173
11681243,31148
11681243,31181
11681243,31175
11681243,31185
11681243,31157
11681243,31160
11681243,31168
11681243,31172
11681243,31189
11681243,31162
11681243,31149
11681243,31159
11681243,31151
11681243,31186
11681243,31143
11681243,31170
11681243,31177
11681243,31188
11688910,31173
11688910,31186
11688910,31189
11688910,31177
11688910,31151
11688910,31162
11688910,31181
11688910,31143
11688910,31159
11688910,31170
11688910,31148
11688910,31160
11688910,31175
11688910,31185
11688910,31149
11688910,31172
11688910,31157
11688910,31168
11688910,31188
11693635,31168
11693635,31189
11693635,31172
11693635,31181
11693635,31159
11693635,31177
11693635,31148
11693635,31188
11693635,31186
11693635,31160
11693635,31173
11693635,31175
11693635,31151
11693635,31157
11693635,31162
11693635,31143
11693635,31170
11693635,31149
11693635,31185
11693829,31162
11693829,31149
11693829,31185
11693829,31177
11693829,31181
11693829,31186
11693829,31157
11693829,31175
11693829,31172
11693829,31188
11693829,31170
11693829,31151
11693829,31148
11693829,31143
11693829,31159
11693829,31168
11693829,31173
11693829,31160
11693829,31189
11693844,31189
11693844,31143
11693844,31157
11693844,31160
11693844,31181
11693844,31177
11693844,31188
11693844,31148
11693844,31173
11693844,31175
11693844,31170
11693844,31149
11693844,31162
11693844,31186
11693844,31172
11693844,31185
11693844,31168
11693844,31151
11693844,31159
11695015,31177
11695015,31168
11695015,31172
11695015,31162
11695015,31181
11695015,31151
11695015,31175
11695015,31173
11695015,31186
11695015,31159
11695015,31189
11695015,31160
11695015,31148
11695015,31185
11695015,31149
11695015,31170
11695015,31143
11695015,31188
11695016,31149
11695016,31172
11695016,31162
11695016,31186
11695016,31177
11695016,31143
11695016,31188
11695016,31175
11695016,31189
11695016,31185
11695016,31173
11695016,31157
11695016,31159
11695016,31151
11695016,31160
11695016,31181
11695016,31170
11695016,31168
11695016,31148
11695027,31157
11695027,31151
11695027,31168
11695027,31173
11695027,31172
11695027,31177
11695027,31162
11695027,31160
11695027,31159
